2025-07-14 13:52:06,532 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 6.45
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=37.41, jellyfin=6.45, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,532 |    DEBUG | playlist-pilot | combined_popularity_score returning 15.74 (weighted average)
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | normalize_popularity_log called with value=993, min_val=10000, max_val=15000000
2025-07-14 13:52:06,532 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 0 (normalized log scale) raw value: 993
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | normalize_popularity called with value=3, min_val=0, max_val=31
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 9.68
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=0, jellyfin=9.68, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,532 |  WARNING | playlist-pilot | combined_popularity_score returning 9.68 (fallback to jellyfin)
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | normalize_popularity_log called with value=278209, min_val=10000, max_val=15000000
2025-07-14 13:52:06,532 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 45.48 (normalized log scale) raw value: 278209
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | normalize_popularity called with value=4, min_val=0, max_val=31
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 12.9
2025-07-14 13:52:06,532 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=45.48, jellyfin=12.9, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,532 |    DEBUG | playlist-pilot | combined_popularity_score returning 22.67 (weighted average)
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity_log called with value=55844, min_val=10000, max_val=15000000
2025-07-14 13:52:06,533 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 23.52 (normalized log scale) raw value: 55844
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity called with value=3, min_val=0, max_val=31
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 9.68
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=23.52, jellyfin=9.68, w_lfm=0.3, w_jf=0.7
2025-07-14 13:52:06,533 |    DEBUG | playlist-pilot | combined_popularity_score returning 13.83 (weighted average)
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity_log called with value=104608, min_val=10000, max_val=15000000
2025-07-14 13:52:06,533 |    DEBUG | playlist-pilot | normalize_popularity_log for lastfm returning 32.1 (normalized log scale) raw value: 104608
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity called with value=3, min_val=0, max_val=31
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | normalize_popularity for jellyfin returning 9.68
2025-07-14 13:52:06,533 |     INFO | playlist-pilot | combined_popularity_score called with lastfm=32.1, jellyfin=9.68, w_lfm=0.3, w_jf=0.7
